micnum,ccode1,ccode2,year,dyfatalmin1,dyfatalmax1,dyfatalmin2,dyfatalmax2,dyhiact1,dyhiact2,dyhostlev1,dyhostlev2,numevents,version
51,710,920,1951,14,350,13,13,22,22,5,5,14,mic-tdd-1.01
51,710,920,1952,8,80,8,8,22,22,5,5,8,mic-tdd-1.01
51,710,920,1953,10,100,10,10,22,22,5,5,10,mic-tdd-1.01
51,731,732,1950,138581,247601,64457,95401,22,22,5,5,14,mic-tdd-1.01
51,731,732,1951,4001,5100,121,425,22,22,5,5,2,mic-tdd-1.01
51,731,732,1952,4300,8000,900,1100,22,22,5,5,1,mic-tdd-1.01
51,731,732,1953,1,10,1,10,22,22,5,5,1,mic-tdd-1.01
51,731,800,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,731,840,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,731,840,1951,1,100,1,10,22,22,5,5,1,mic-tdd-1.01
51,731,900,1950,106,210,13,13,22,22,5,5,7,mic-tdd-1.01
51,731,920,1950,1,25,1,1,22,22,5,5,1,mic-tdd-1.01
51,731,920,1951,3,150,3,3,22,22,5,5,3,mic-tdd-1.01
51,710,2,1950,29455,38715,8310,8734,22,22,5,5,11,mic-tdd-1.01
51,710,2,1951,13503,34800,10724,11513,22,22,5,5,57,mic-tdd-1.01
51,710,2,1952,4848,8796,4368,5082,22,22,5,5,56,mic-tdd-1.01
51,710,2,1953,3983,7316,2923,3252,22,22,5,5,33,mic-tdd-1.01
51,731,2,1950,54342,80851,12988,22536,22,22,5,5,37,mic-tdd-1.01
51,731,2,1951,9581,16942,888,2179,22,22,5,5,58,mic-tdd-1.01
51,731,2,1952,744,3274,604,1332,22,22,5,5,54,mic-tdd-1.01
51,731,2,1953,132,643,132,440,22,22,5,5,31,mic-tdd-1.01
51,710,20,1950,5,65,20,20,22,22,5,5,5,mic-tdd-1.01
51,710,20,1951,127,1210,662,921,22,22,5,5,84,mic-tdd-1.01
51,710,20,1952,114,1115,191,196,22,22,5,5,105,mic-tdd-1.01
51,710,20,1953,50,440,77,77,22,22,5,5,41,mic-tdd-1.01
51,731,20,1950,9,90,13,13,22,22,5,5,9,mic-tdd-1.01
51,731,20,1951,1,100,1,10,22,22,5,5,1,mic-tdd-1.01
51,710,100,1951,63,87,2,2,22,22,5,5,4,mic-tdd-1.01
51,710,100,1952,26,125,97,106,22,22,5,5,2,mic-tdd-1.01
51,710,100,1953,1000,1250,135,145,22,22,5,5,3,mic-tdd-1.01
51,731,100,1951,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,731,100,1952,1,50,1,10,22,22,5,5,1,mic-tdd-1.01
51,710,200,1950,106,400,42,42,22,22,5,5,7,mic-tdd-1.01
51,710,200,1951,1264,3180,505,514,22,22,5,5,129,mic-tdd-1.01
51,710,200,1952,182,1370,265,265,22,22,5,5,119,mic-tdd-1.01
51,710,200,1953,873,1730,144,144,22,22,5,5,74,mic-tdd-1.01
51,731,200,1950,132,1145,51,51,22,22,5,5,10,mic-tdd-1.01
51,731,200,1951,1,10,1,10,22,22,5,5,1,mic-tdd-1.01
51,710,210,1951,43,235,37,61,22,22,5,5,5,mic-tdd-1.01
51,710,210,1952,35,60,6,15,22,22,5,5,2,mic-tdd-1.01
51,710,210,1953,150,300,14,59,22,22,5,5,6,mic-tdd-1.01
51,731,210,1951,52,210,23,47,22,22,5,5,3,mic-tdd-1.01
51,710,211,1951,215,700,80,80,22,22,5,5,3,mic-tdd-1.01
51,710,211,1952,0,0,0,0,22,22,5,5,0,mic-tdd-1.01
51,710,211,1953,200,400,24,24,22,22,5,5,1,mic-tdd-1.01
51,731,211,1952,0,0,0,0,0,0,1,1,0,mic-tdd-1.01
51,710,212,1951,25,100,2,2,22,22,5,5,1,mic-tdd-1.01
51,710,212,1952,0,0,0,0,22,22,5,5,1,mic-tdd-1.01
51,710,212,1953,0,0,0,0,22,22,5,5,1,mic-tdd-1.01
51,731,212,1953,0,0,0,0,0,0,1,1,0,mic-tdd-1.01
51,710,220,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,710,220,1951,501,850,34,58,22,22,5,5,2,mic-tdd-1.01
