micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
3625,11,24,1985,3,11,1986,0,0,15,4,3,1,3,mic-1.0
3626,3,7,1986,4,14,1986,0,0,17,4,5,1,1,mic-1.0
3628,10,14,1986,3,15,1987,852,1670,17,4,5,1,1,mic-1.0
3629,6,22,1986,6,22,1986,0,0,7,3,5,1,1,mic-1.0
3630,3,31,1982,6,14,1982,779,957,22,5,2,1,1,mic-1.0
3631,6,-9,1977,8,21,1979,356,1139,17,4,1,2,1,mic-1.0
3632,12,3,1980,12,3,1980,0,0,8,3,5,1,1,mic-1.0
3633,12,12,1980,11,15,1981,0,0,17,4,5,2,1,mic-1.0
3634,2,17,1983,11,21,1984,565,1601,17,4,5,1,4,mic-1.0
3635,2,10,1986,9,11,1987,5809,9882,22,5,5,2,1,mic-1.0
3636,1,13,1986,4,15,1986,1,1,16,4,3,1,1,mic-1.0
3637,1,16,1986,1,16,1986,0,0,7,3,5,1,2,mic-1.0
3638,10,5,1987,10,5,1987,1,1,16,4,5,1,1,mic-1.0
3645,4,18,1903,10,15,1903,0,0,14,4,1,1,1,mic-1.0
3647,2,21,1911,3,27,1911,0,0,11,3,4,1,1,mic-1.0
3656,9,-9,1937,3,-9,1938,0,0,16,4,5,1,1,mic-1.0
3659,11,6,1971,11,6,1971,0,0,7,3,5,1,1,mic-1.0
3704,2,16,1940,3,25,1940,0,0,16,4,5,1,1,mic-1.0
3705,9,28,1939,4,9,1940,0,0,16,4,9,1,1,mic-1.0
3706,9,30,1939,4,9,1940,2,50,16,4,1,1,1,mic-1.0
3707,1,10,1940,3,20,1940,0,0,16,4,5,1,1,mic-1.0
3718,6,25,1940,7,1,1940,0,0,14,4,5,1,1,mic-1.0
3719,9,16,1939,4,3,1941,0,0,16,4,7,1,1,mic-1.0
3723,11,8,1939,1,25,1940,0,0,16,4,8,1,1,mic-1.0
3724,11,19,1939,6,10,1940,0,0,15,4,9,1,1,mic-1.0
3725,5,20,1882,9,15,1882,830,1141,22,5,1,2,1,mic-1.0
3801,4,9,1940,4,22,1940,0,0,16,4,5,1,1,mic-1.0
3802,5,15,1940,5,15,1940,0,0,16,4,5,1,1,mic-1.0
3804,9,24,1939,7,24,1943,0,0,16,4,5,1,1,mic-1.0
3809,9,24,1939,5,11,1940,0,0,16,4,7,1,1,mic-1.0
3813,3,27,1941,4,17,1941,1410,2655,16,4,9,1,3,mic-1.0
3823,8,23,1940,8,30,1940,0,0,17,4,4,1,1,mic-1.0
3825,8,28,1940,8,30,1940,0,0,7,3,4,1,1,mic-1.0
3836,7,17,1940,7,19,1940,0,0,7,3,5,1,1,mic-1.0
3850,1,28,1940,2,19,1941,150,300,17,4,5,2,1,mic-1.0
3851,9,22,1940,10,20,1940,0,0,1,2,5,1,1,mic-1.0
3853,6,12,1940,10,20,1940,114,225,22,5,8,2,1,mic-1.0
3856,10,11,1940,10,11,1940,0,0,7,3,5,1,1,mic-1.0
3861,4,10,1940,5,14,1940,0,0,7,3,4,1,1,mic-1.0
3863,8,20,1940,10,29,1940,0,0,16,4,5,1,1,mic-1.0
3868,9,22,1941,9,22,1941,0,0,3,2,5,1,1,mic-1.0
3869,9,14,1941,9,19,1941,2,2,16,4,5,1,1,mic-1.0
3876,3,10,1942,8,24,1942,0,0,16,4,5,1,1,mic-1.0
3877,5,14,1942,9,4,1942,0,0,16,4,9,1,1,mic-1.0
3884,2,7,1943,2,7,1943,0,0,7,3,5,1,1,mic-1.0
3901,11,13,1988,1,31,1990,254,344,16,4,2,1,1,mic-1.0
3904,5,23,1989,5,27,1989,5,5,17,4,5,1,1,mic-1.0
3905,4,9,1989,9,30,1989,1,1,16,4,5,1,1,mic-1.0
3906,12,7,1989,12,15,1989,0,0,7,3,1,1,1,mic-1.0
3907,11,30,1989,11,30,1989,0,0,7,3,5,1,1,mic-1.0
3909,1,12,1989,1,13,1989,0,0,8,3,5,1,1,mic-1.0
3911,3,2,1989,3,13,1989,72,72,17,4,5,1,1,mic-1.0
3912,11,15,1989,4,2,1990,1,1,16,4,6,1,1,mic-1.0
3913,9,20,1989,9,23,1989,4,4,16,4,5,1,1,mic-1.0
3914,3,13,1989,3,14,1989,5,5,17,4,5,1,1,mic-1.0
3915,6,3,1989,6,3,1989,0,0,16,4,5,1,1,mic-1.0
3916,2,11,1989,4,7,1989,0,0,16,4,5,1,1,mic-1.0
3919,5,21,1989,5,21,1989,1,25,17,4,5,1,1,mic-1.0
3920,1,20,1989,9,27,1989,0,0,16,4,5,1,1,mic-1.0
3921,10,25,1989,10,25,1989,1,1,16,4,5,1,1,mic-1.0
3922,10,21,1989,10,21,1989,0,0,16,4,5,1,1,mic-1.0
3952,1,1,1990,5,29,1990,2,50,17,4,5,1,1,mic-1.0
3953,10,-9,1989,7,-9,1990,3,9,17,4,5,1,1,mic-1.0
3954,1,4,1990,1,4,1990,0,0,1,2,5,1,1,mic-1.0
3956,4,2,1990,2,28,1991,0,0,16,4,5,1,1,mic-1.0
3957,6,26,1990,1,2,1992,9726,46647,22,5,2,1,9,mic-1.0
3958,4,28,1990,2,1,1991,3,3,17,4,5,1,1,mic-1.0
3959,2,11,1990,12,22,1990,0,0,17,4,6,1,1,mic-1.0
3960,2,8,1990,2,10,1990,41,41,17,4,5,1,1,mic-1.0
3970,1,-9,1991,1,-9,1991,0,0,7,3,5,1,1,mic-1.0
3971,1,24,1991,1,24,1991,0,0,1,2,5,1,1,mic-1.0
3973,5,21,1991,5,22,1991,0,0,17,4,5,1,1,mic-1.0
3976,6,28,1991,6,30,1991,0,0,11,3,5,1,1,mic-1.0
3977,6,1,1991,9,17,1991,0,0,12,3,5,1,1,mic-1.0
3978,4,1,1991,4,23,1991,0,0,14,4,5,1,1,mic-1.0
3979,1,24,1991,12,28,1991,3,3,17,4,5,1,1,mic-1.0
3981,10,4,1991,10,4,1991,0,0,7,3,5,1,1,mic-1.0
3982,5,29,1991,8,29,1991,0,0,17,4,5,1,1,mic-1.0
3983,1,17,1991,3,1,1991,0,0,8,3,5,1,1,mic-1.0
3984,1,-9,1991,2,26,1991,0,0,11,3,5,1,1,mic-1.0
3985,4,25,1991,9,2,1991,68,116,17,4,5,1,1,mic-1.0
3986,12,16,1991,12,24,1991,1,1,16,4,5,1,1,mic-1.0
3987,10,6,1991,10,13,1991,0,0,7,3,5,1,1,mic-1.0
3988,2,1,1991,2,1,1991,2,2,17,4,5,1,1,mic-1.0
3994,9,16,1977,8,20,1979,31,155,17,4,5,1,2,mic-1.0
4001,1,1,1994,9,23,1996,4,12,17,4,5,1,1,mic-1.0
4002,2,8,1995,3,1,1995,0,0,16,4,5,1,1,mic-1.0
4003,1,3,1996,1,8,1996,0,0,11,3,1,1,1,mic-1.0
4004,1,24,1996,1,30,1996,0,0,14,4,1,1,1,mic-1.0
4005,6,25,1995,6,25,1995,0,0,17,4,5,1,1,mic-1.0
4006,5,20,1996,5,20,1996,0,0,8,3,5,1,1,mic-1.0
4007,9,17,1993,7,26,1999,615,1531,22,5,5,1,1,mic-1.0
4008,5,31,1995,5,31,1995,2,2,17,4,5,1,1,mic-1.0
