micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
1764,325,7,6,1885,8,-9,1885,1,0,0,7,3,1,mic-1.0
1771,385,7,18,1911,7,19,1911,0,0,0,0,1,1,mic-1.0
1771,255,7,18,1911,7,19,1911,1,0,0,7,3,1,mic-1.0
1773,255,8,8,1914,11,-9,1915,0,25,34,17,4,1,mic-1.0
1773,235,8,8,1914,11,-9,1915,1,83,98,17,4,1,mic-1.0
1774,255,4,14,1915,10,11,1918,1,0,0,16,4,1,mic-1.0
1774,380,4,14,1915,10,11,1918,0,0,0,0,1,1,mic-1.0
1775,2,6,2,1915,7,-9,1915,1,0,0,1,2,1,mic-1.0
1775,70,6,2,1915,7,-9,1915,0,0,0,8,3,1,mic-1.0
1777,710,12,-9,1918,8,1,1919,0,0,0,0,1,1,mic-1.0
1777,740,12,-9,1918,8,1,1919,1,0,0,14,4,1,mic-1.0
1778,325,6,4,1920,8,5,1920,1,251,500,17,4,1,mic-1.0
1778,339,6,4,1920,8,5,1920,0,101,250,17,4,1,mic-1.0
1779,365,4,1,1922,7,29,1922,0,0,0,1,2,1,mic-1.0
1779,700,4,1,1922,7,29,1922,1,0,0,7,3,1,mic-1.0
1780,345,8,8,1923,9,16,1923,0,0,0,0,1,1,mic-1.0
1780,325,8,8,1923,9,16,1923,1,0,0,7,3,1,mic-1.0
1781,365,12,18,1925,8,31,1926,1,1,25,16,4,1,mic-1.0
1781,700,12,18,1925,8,31,1926,0,1,25,10,3,1,mic-1.0
1783,255,4,1,1940,6,8,1940,1,0,0,16,4,1,mic-1.0
1783,225,4,1,1940,6,8,1940,0,0,0,16,4,1,mic-1.0
1785,740,8,4,1941,6,6,1942,0,165,320,22,5,1,mic-1.0
1785,800,8,4,1941,6,6,1942,1,130,250,22,5,1,mic-1.0
1788,255,9,12,1943,9,18,1943,1,0,0,7,3,1,mic-1.0
1788,225,9,12,1943,9,18,1943,0,0,0,10,3,1,mic-1.0
1789,100,6,23,1942,7,3,1944,0,0,0,16,4,1,mic-1.0
1789,255,6,23,1942,7,3,1944,1,0,0,16,4,1,mic-1.0
1792,220,5,7,1946,11,17,1946,1,1,25,17,4,1,mic-1.0
1792,800,5,7,1946,11,17,1946,0,101,250,17,4,1,mic-1.0
1793,645,5,14,1948,3,-9,1949,1,195,275,22,5,1,mic-1.0
1793,660,5,15,1948,3,23,1949,1,11,65,22,5,0,mic-1.0
1793,651,5,14,1948,2,24,1949,1,130,290,22,5,1,mic-1.0
1793,666,5,14,1948,7,20,1949,0,1100,2004,22,5,1,mic-1.0
1793,663,5,15,1948,4,3,1949,1,188,655,22,5,0,mic-1.0
1793,652,5,15,1948,7,20,1949,1,195,900,22,5,0,mic-1.0
1797,710,6,28,1960,7,31,1960,1,0,0,16,4,1,mic-1.0
1797,790,6,28,1960,7,31,1960,0,1,1,11,3,1,mic-1.0
1800,220,5,-9,1865,2,12,1866,0,0,0,0,1,1,mic-1.0
1800,2,5,-9,1865,2,12,1866,1,0,0,16,4,1,mic-1.0
1801,42,6,3,1961,12,8,1961,0,0,0,0,1,1,mic-1.0
1801,2,6,3,1961,12,8,1961,1,0,0,8,3,1,mic-1.0
1804,551,11,11,1965,12,9,1965,1,0,0,8,3,1,mic-1.0
1804,552,11,11,1965,2,10,1966,0,0,0,7,3,1,mic-1.0
1804,200,12,2,1965,2,10,1966,1,0,0,7,3,0,mic-1.0
1807,365,10,10,1968,3,19,1969,0,0,0,7,3,1,mic-1.0
1807,452,10,10,1968,3,19,1969,1,0,0,15,4,1,mic-1.0
1808,160,1,26,1973,1,26,1973,1,0,0,7,3,1,mic-1.0
1808,165,1,26,1973,1,26,1973,0,0,0,7,3,1,mic-1.0
1809,500,6,26,1975,6,28,1975,0,0,0,0,1,1,mic-1.0
1809,501,6,26,1975,6,28,1975,1,0,0,15,4,1,mic-1.0
1825,740,12,11,1937,12,11,1937,1,0,0,16,4,1,mic-1.0
