micnum,endmonth,endday,endyear,endingmethod,talks,issuemention,ceasefire,withdrawal,reaffirm,demarcate,acceptfuture,futureagree,infoexchange,disarm,institutioncreate,refugees,pow,monitoring,territoryexchange,travel,requestmediate,compensation,policychange,baddefeat,regimechange,nonstateaggr,global,regional,state,nonstate,mediatorname,releaseaircraft,releasepersonnel,releaseshipping,releasearms,version
198,9,11,1848,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
200,11,6,1956,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
202,6,9,1885,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
207,6,8,1858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
208,3,31,1953,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
210,3,29,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,micend-1.0
211,7,16,1920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
220,10,5,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
224,11,24,1865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
225,12,27,1861,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,micend-1.0
227,9,19,1861,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
228,5,12,1881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
